"scenario_name","population_id","anchor_date","application_seq","application_id","applicant_id","application_date","product_type","score_band","credit_score","annual_income","debt_to_income_ratio","utilization_rate","tradeline_count","months_since_oldest_trade","recent_inquiry_count","delinquency_count_12m","major_derogatory_flag","bankruptcy_flag","prequalified_flag","returning_customer_flag","requested_amount","loan_term_months","base_apr_for_payment_calc","monthly_payment_proxy","payment_to_income_ratio","amount_to_income_ratio","base_pd","mult_delinq","mult_derog","mult_bankruptcy","mult_util","mult_dti","mult_inquiry","mult_tradeline","mult_file_age","mult_pti","mult_amt_income","mult_product","estimated_pd","estimated_lgd","expected_loss_amount","created_ts"
BASELINE,BASE_POPULATION_V1,2025-12-31,18886,APP-00018886,CUST-00018886,2025-08-05,MORTGAGE,PRIME,750,174395.92,0.3331,0.2001,10,231,1,1,false,false,false,false,794803.50,180,0.094513,8276.19,0.569476,4.557466,0.025000,1.20,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.45,1.25,0.90,0.050771,0.200000,8070.59,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,43450,APP-00043450,CUST-00043450,2025-05-15,MORTGAGE,PRIME,745,174951.83,0.3633,0.3423,12,152,3,0,false,false,false,false,798486.33,180,0.094163,8297.71,0.569142,4.564035,0.025000,1.00,1.00,1.00,1.10,1.10,1.05,1.00,1.00,1.45,1.25,0.90,0.052377,0.200000,8364.46,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,49479,APP-00049479,CUST-00049479,2025-06-12,MORTGAGE,PRIME,749,173731.51,0.4194,0.3687,14,177,2,3,false,false,false,false,790414.05,180,0.094454,8227.68,0.568303,4.549630,0.025000,1.75,1.00,1.00,1.10,1.10,1.05,1.03,1.00,1.45,1.25,0.90,0.097932,0.200000,15481.37,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,4898,APP-00004898,CUST-00004898,2025-10-03,MORTGAGE,PRIME,729,203352.92,0.3740,0.3412,10,93,3,0,false,false,true,false,952740.09,180,0.088862,9598.93,0.566440,4.685156,0.025000,1.00,1.00,1.00,1.10,1.10,1.05,1.00,1.00,1.45,1.25,0.90,0.052688,0.200000,10039.59,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,35967,APP-00035967,CUST-00035967,2025-02-25,MORTGAGE,PRIME,733,179752.76,0.4052,0.3680,11,177,0,0,false,false,false,false,830680.22,180,0.091135,8481.49,0.566210,4.621238,0.025000,1.00,1.00,1.00,1.10,1.10,1.00,1.00,1.00,1.45,1.25,0.90,0.049773,0.200000,8269.09,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,45042,APP-00045042,CUST-00045042,2025-06-29,MORTGAGE,PRIME,756,164005.15,0.3727,0.3401,7,243,4,0,false,false,false,false,727660.22,180,0.097959,7728.87,0.565509,4.436813,0.025000,1.00,1.00,1.00,1.10,1.10,1.12,1.00,1.00,1.45,1.25,0.90,0.056117,0.200000,8166.82,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,38560,APP-00038560,CUST-00038560,2025-05-25,MORTGAGE,PRIME,719,189241.67,0.3927,0.2665,5,217,1,1,false,false,false,true,896384.46,180,0.086181,8889.22,0.563674,4.736718,0.025000,1.20,1.00,1.00,1.00,1.10,1.00,1.05,1.00,1.45,1.25,0.90,0.058784,0.200000,10538.61,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,11177,APP-00011177,CUST-00011177,2025-03-27,MORTGAGE,PRIME,723,194113.11,0.2981,0.2290,10,111,1,0,false,false,false,false,919061.11,180,0.086250,9117.83,0.563661,4.734668,0.025000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.45,1.25,0.90,0.038898,0.200000,7149.93,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,18371,APP-00018371,CUST-00018371,2025-03-20,MORTGAGE,PRIME,735,178962.42,0.3047,0.2628,7,223,0,0,false,false,false,false,825332.34,180,0.090675,8404.24,0.563531,4.611763,0.025000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.45,1.25,0.90,0.039644,0.200000,6543.90,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,49960,APP-00049960,CUST-00049960,2025-04-05,MORTGAGE,PRIME,740,190370.50,0.4239,0.3641,11,41,0,0,false,false,false,false,874838.67,180,0.091138,8932.52,0.563061,4.595453,0.025000,1.00,1.00,1.00,1.10,1.10,1.00,1.00,1.05,1.45,1.25,0.90,0.051397,0.200000,8992.82,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,38241,APP-00038241,CUST-00038241,2025-08-02,MORTGAGE,PRIME,754,164023.67,0.3410,0.3263,15,244,2,0,false,false,false,false,727777.07,180,0.096931,7684.66,0.562211,4.437025,0.025000,1.00,1.00,1.00,1.10,1.00,1.05,1.03,1.00,1.45,1.25,0.90,0.049356,0.200000,7184.03,2026-04-23 08:27:11.250 -0400
