"sample_reason","scenario_set_name","scenario_name","population_id","application_seq","application_id","applicant_id","application_date","product_type","score_band","credit_score","annual_income","debt_to_income_ratio","utilization_rate","tradeline_count","months_since_oldest_trade","recent_inquiry_count","delinquency_count_12m","major_derogatory_flag","bankruptcy_flag","requested_amount","apr_proxy","loan_term_months","monthly_payment_proxy","payment_to_income_ratio","amount_to_income_ratio","estimated_pd","estimated_lgd","expected_loss_amount"
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,24342,APP-00024342,CUST-00024342,2025-01-19,AUTO_LOAN,DEEP_SUBPRIME,533,79944.95,0.6129,0.5541,6,12,0,0,false,false,15486.22,0.178477,72,351.87,0.052817,0.193711,0.403815,0.450000,2814.11
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,24803,APP-00024803,CUST-00024803,2025-04-04,AUTO_LOAN,DEEP_SUBPRIME,570,71872.23,0.5509,0.8516,4,30,1,2,false,false,71304.57,0.217890,48,2238.37,0.373725,0.992102,0.450000,0.450000,14439.18
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,31943,APP-00031943,CUST-00031943,2025-08-03,AUTO_LOAN,DEEP_SUBPRIME,515,48079.22,0.5292,0.6775,2,101,2,0,false,false,49093.90,0.178977,48,1439.51,0.359285,1.021104,0.450000,0.450000,9941.51
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,32105,APP-00032105,CUST-00032105,2025-03-05,AUTO_LOAN,DEEP_SUBPRIME,547,30580.47,0.4526,0.8666,5,72,2,6,false,false,21159.59,0.190500,36,776.16,0.304571,0.691931,0.450000,0.450000,4284.82
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,39340,APP-00039340,CUST-00039340,2025-07-28,AUTO_LOAN,DEEP_SUBPRIME,558,86589.38,0.6027,0.8244,7,25,4,0,true,false,13608.29,0.193728,72,321.03,0.044490,0.157159,0.450000,0.450000,2755.68
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,44120,APP-00044120,CUST-00044120,2025-01-18,AUTO_LOAN,DEEP_SUBPRIME,516,22111.30,0.6441,0.4859,5,48,5,6,false,false,65535.17,0.183334,84,1390.24,0.754496,2.963877,0.450000,0.450000,13270.87
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,44616,APP-00044616,CUST-00044616,2025-09-26,AUTO_LOAN,DEEP_SUBPRIME,545,45956.34,0.6207,0.5284,4,24,2,0,true,true,31392.02,0.191954,36,1153.81,0.301280,0.683084,0.450000,0.450000,6356.88
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,46192,APP-00046192,CUST-00046192,2025-05-02,AUTO_LOAN,DEEP_SUBPRIME,534,83548.09,0.6387,0.6125,6,24,3,3,true,false,71122.12,0.195827,48,2148.49,0.308587,0.851272,0.450000,0.450000,14402.23
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,49041,APP-00049041,CUST-00049041,2025-12-10,AUTO_LOAN,DEEP_SUBPRIME,517,81879.99,0.3161,0.5553,1,21,4,3,false,false,42107.77,0.176782,36,1515.51,0.222107,0.514262,0.450000,0.450000,8526.82
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,49793,APP-00049793,CUST-00049793,2025-11-24,AUTO_LOAN,DEEP_SUBPRIME,530,80958.55,0.6020,0.5526,6,65,1,0,false,false,61850.57,0.190940,36,2270.14,0.336489,0.763978,0.450000,0.450000,12524.74
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,2326,APP-00002326,CUST-00002326,2025-12-26,AUTO_LOAN,NEAR_PRIME,669,58812.59,0.4196,0.7319,6,102,2,0,true,false,61731.34,0.115213,72,1191.55,0.243121,1.049628,0.247904,0.450000,6886.55
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,6058,APP-00006058,CUST-00006058,2025-02-08,AUTO_LOAN,NEAR_PRIME,684,81099.61,0.3955,0.5011,19,203,4,1,false,false,14559.15,0.109375,84,248.81,0.036815,0.179522,0.120841,0.450000,791.70
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,6443,APP-00006443,CUST-00006443,2025-06-05,AUTO_LOAN,NEAR_PRIME,677,124151.05,0.4583,0.5928,11,29,2,2,false,false,26250.26,0.108676,84,447.64,0.043267,0.211438,0.151973,0.450000,1795.20
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,8654,APP-00008654,CUST-00008654,2025-01-12,AUTO_LOAN,NEAR_PRIME,679,109560.71,0.3215,0.5825,5,132,0,0,true,false,47048.13,0.115128,72,907.92,0.099443,0.429425,0.136432,0.450000,2888.49
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,9349,APP-00009349,CUST-00009349,2025-12-25,AUTO_LOAN,NEAR_PRIME,665,66228.07,0.2841,0.5625,12,87,1,2,false,false,26499.61,0.104508,36,860.69,0.155950,0.400127,0.151552,0.450000,1807.23
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,9812,APP-00009812,CUST-00009812,2025-01-21,AUTO_LOAN,NEAR_PRIME,665,139082.86,0.3349,0.2635,6,142,1,0,false,false,72164.33,0.113404,72,1386.20,0.119601,0.518859,0.071669,0.450000,2327.38
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,9867,APP-00009867,CUST-00009867,2025-12-27,AUTO_LOAN,NEAR_PRIME,664,141327.02,0.3338,0.3687,6,127,5,0,false,false,65394.07,0.110987,84,1123.10,0.095362,0.462715,0.078569,0.450000,2312.08
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,10641,APP-00010641,CUST-00010641,2025-12-22,AUTO_LOAN,NEAR_PRIME,678,121751.47,0.3368,0.2271,8,155,1,0,false,false,80000.00,0.123514,72,1578.67,0.155596,0.657076,0.084459,0.450000,3040.52
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,12079,APP-00012079,CUST-00012079,2025-01-30,AUTO_LOAN,NEAR_PRIME,671,149471.66,0.4674,0.2080,6,168,0,1,false,false,7510.06,0.100971,72,139.50,0.011199,0.050244,0.088011,0.450000,297.44
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,14240,APP-00014240,CUST-00014240,2025-06-07,AUTO_LOAN,NEAR_PRIME,684,140446.14,0.5097,0.4824,3,106,0,0,false,false,67051.04,0.120893,84,1186.84,0.101406,0.477415,0.102904,0.450000,3104.92
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,27169,APP-00027169,CUST-00027169,2025-01-20,AUTO_LOAN,NEAR_PRIME,662,139650.76,0.4193,0.4529,12,67,1,0,false,false,49470.50,0.106254,84,837.34,0.071951,0.354244,0.075369,0.450000,1677.84
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,29091,APP-00029091,CUST-00029091,2025-04-14,AUTO_LOAN,NEAR_PRIME,672,108126.17,0.6074,0.5871,9,56,4,0,false,false,19517.75,0.104393,84,328.47,0.036454,0.180509,0.124915,0.450000,1097.13
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,33494,APP-00033494,CUST-00033494,2025-11-12,AUTO_LOAN,NEAR_PRIME,685,164035.96,0.3312,0.2601,5,78,5,0,false,false,13942.57,0.109931,48,360.31,0.026358,0.084997,0.067671,0.450000,424.58
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,36357,APP-00036357,CUST-00036357,2025-08-01,AUTO_LOAN,NEAR_PRIME,667,101041.32,0.4202,0.5662,4,179,0,2,false,false,41326.27,0.107672,84,702.56,0.083438,0.409004,0.140667,0.450000,2615.96
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,37649,APP-00037649,CUST-00037649,2025-08-20,AUTO_LOAN,NEAR_PRIME,649,166977.23,0.4209,0.3324,9,135,0,0,false,false,39780.26,0.097826,48,1004.78,0.072210,0.238238,0.073270,0.450000,1311.61
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,41475,APP-00041475,CUST-00041475,2025-06-25,AUTO_LOAN,NEAR_PRIME,687,121938.10,0.3169,0.2870,6,173,5,0,false,false,66456.28,0.123237,72,1310.45,0.128962,0.545000,0.079216,0.450000,2368.98
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,45965,APP-00045965,CUST-00045965,2025-06-03,AUTO_LOAN,NEAR_PRIME,680,162849.07,0.4813,0.3622,8,42,5,0,false,false,79287.54,0.124084,36,2648.97,0.195197,0.486877,0.132609,0.450000,4731.41
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,47739,APP-00047739,CUST-00047739,2025-08-10,AUTO_LOAN,NEAR_PRIME,697,152482.88,0.4425,0.3037,5,104,1,2,false,false,33788.43,0.120470,60,752.41,0.059213,0.221588,0.117519,0.450000,1786.85
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,49299,APP-00049299,CUST-00049299,2025-03-01,AUTO_LOAN,NEAR_PRIME,670,102507.41,0.4676,0.3924,12,155,3,4,false,false,54860.38,0.112724,72,1051.89,0.123139,0.535185,0.226455,0.450000,5590.53
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,49779,APP-00049779,CUST-00049779,2025-06-03,AUTO_LOAN,NEAR_PRIME,691,174515.05,0.4216,0.3504,12,80,0,4,false,false,13702.63,0.112714,48,355.96,0.024477,0.078518,0.151861,0.450000,936.40
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,1547,APP-00001547,CUST-00001547,2025-02-27,AUTO_LOAN,PRIME,706,65826.10,0.4501,0.1639,5,115,1,0,false,false,11848.17,0.069240,72,201.57,0.036746,0.179992,0.031937,0.450000,170.28
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,3840,APP-00003840,CUST-00003840,2025-02-05,AUTO_LOAN,PRIME,759,181114.57,0.4310,0.3487,9,222,1,0,false,false,32290.71,0.090789,72,583.32,0.038649,0.178289,0.028874,0.450000,419.56
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,11003,APP-00011003,CUST-00011003,2025-10-18,AUTO_LOAN,PRIME,741,159328.20,0.2756,0.3514,15,46,0,0,false,false,35172.80,0.084883,84,556.81,0.041937,0.220757,0.028146,0.450000,445.49
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,14916,APP-00014916,CUST-00014916,2025-01-07,AUTO_LOAN,PRIME,744,201249.92,0.4521,0.3491,7,102,4,0,false,false,67925.83,0.092237,84,1100.59,0.065625,0.337520,0.041468,0.450000,1267.54
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,15436,APP-00015436,CUST-00015436,2025-11-06,AUTO_LOAN,PRIME,741,132120.58,0.3458,0.3792,12,136,4,0,false,false,6025.05,0.078921,48,146.78,0.013331,0.045603,0.029525,0.450000,80.05
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,16262,APP-00016262,CUST-00016262,2025-08-15,AUTO_LOAN,PRIME,759,156425.66,0.2694,0.4095,8,89,3,0,false,false,8726.64,0.085692,60,179.33,0.013757,0.055788,0.028216,0.450000,110.80
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,16878,APP-00016878,CUST-00016878,2025-04-08,AUTO_LOAN,PRIME,754,173131.64,0.2272,0.3531,11,89,2,0,false,false,54482.31,0.094655,60,1143.31,0.079244,0.314687,0.030343,0.450000,743.92
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,19857,APP-00019857,CUST-00019857,2025-09-10,AUTO_LOAN,PRIME,707,124762.90,0.3688,0.1976,5,241,4,0,false,false,64110.95,0.082683,48,1573.22,0.151316,0.513862,0.044150,0.450000,1273.72
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,24182,APP-00024182,CUST-00024182,2025-10-22,AUTO_LOAN,PRIME,736,129137.82,0.1924,0.3458,7,120,0,1,false,false,52072.43,0.088428,72,934.58,0.086845,0.403231,0.035193,0.450000,824.66
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,25338,APP-00025338,CUST-00025338,2025-01-08,AUTO_LOAN,PRIME,727,116509.82,0.5065,0.2080,12,160,3,0,false,false,9447.96,0.075136,72,163.42,0.016832,0.081092,0.032215,0.450000,136.96
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,28750,APP-00028750,CUST-00028750,2025-12-30,AUTO_LOAN,PRIME,719,143187.07,0.2492,0.2548,15,246,2,0,false,false,5462.90,0.071452,48,131.18,0.010994,0.038152,0.026478,0.450000,65.09
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,29966,APP-00029966,CUST-00029966,2025-10-17,AUTO_LOAN,PRIME,716,181685.04,0.2333,0.3198,11,104,0,0,false,false,49583.23,0.080299,60,1006.08,0.066450,0.272908,0.028424,0.450000,634.21
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,33674,APP-00033674,CUST-00033674,2025-04-10,AUTO_LOAN,PRIME,753,198145.70,0.4428,0.2337,13,55,1,0,false,false,19122.80,0.085943,48,472.20,0.028597,0.096509,0.029070,0.450000,250.15
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,39160,APP-00039160,CUST-00039160,2025-05-30,AUTO_LOAN,PRIME,720,139274.29,0.3372,0.3393,20,251,2,0,false,false,39494.61,0.081039,36,1239.51,0.106797,0.283574,0.033815,0.450000,600.98
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,41647,APP-00041647,CUST-00041647,2025-03-09,AUTO_LOAN,PRIME,750,201690.20,0.3012,0.2918,5,162,3,0,false,false,61869.16,0.094496,48,1552.86,0.092391,0.306753,0.029529,0.450000,822.12
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,42655,APP-00042655,CUST-00042655,2025-10-06,AUTO_LOAN,PRIME,708,153620.83,0.3910,0.2416,10,165,0,0,false,false,71671.90,0.085065,36,2262.72,0.176751,0.466551,0.036325,0.450000,1171.57
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,42742,APP-00042742,CUST-00042742,2025-12-15,AUTO_LOAN,PRIME,735,172902.39,0.3452,0.3467,10,161,1,0,false,false,39274.98,0.085316,36,1240.39,0.086087,0.227151,0.028532,0.450000,504.27
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,43683,APP-00043683,CUST-00043683,2025-05-31,AUTO_LOAN,PRIME,743,117540.59,0.2859,0.2846,13,180,2,2,false,false,57742.89,0.091506,84,933.45,0.095298,0.491259,0.044307,0.450000,1151.29
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,43976,APP-00043976,CUST-00043976,2025-03-30,AUTO_LOAN,PRIME,724,94592.05,0.5150,0.2809,5,188,1,0,false,false,9037.66,0.074208,84,138.27,0.017541,0.095544,0.032198,0.450000,130.95
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,46644,APP-00046644,CUST-00046644,2025-10-04,AUTO_LOAN,PRIME,748,135743.70,0.4008,0.1956,8,51,2,1,false,false,17042.36,0.083855,72,302.03,0.026700,0.125548,0.036890,0.450000,282.91
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,417,APP-00000417,CUST-00000417,2025-06-23,AUTO_LOAN,SUBPRIME,594,60724.99,0.4021,0.8401,7,42,5,4,true,false,49382.45,0.138496,36,1684.17,0.332813,0.813215,0.450000,0.450000,9999.95
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,1023,APP-00001023,CUST-00001023,2025-07-18,AUTO_LOAN,SUBPRIME,610,94899.14,0.3973,0.5837,9,58,4,0,false,false,48536.26,0.147769,36,1677.23,0.212086,0.511451,0.318533,0.450000,6957.18
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,1676,APP-00001676,CUST-00001676,2025-01-03,AUTO_LOAN,SUBPRIME,595,86690.57,0.4535,0.5388,4,116,0,2,false,false,15143.68,0.128248,48,404.95,0.056055,0.174687,0.323852,0.450000,2206.94
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,3645,APP-00003645,CUST-00003645,2025-07-05,AUTO_LOAN,SUBPRIME,606,126660.99,0.6427,0.6827,7,110,5,0,false,false,34153.50,0.139064,84,638.27,0.060470,0.269645,0.285373,0.450000,4385.92
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,4120,APP-00004120,CUST-00004120,2025-02-19,AUTO_LOAN,SUBPRIME,592,40244.14,0.5241,0.5842,10,69,5,3,false,false,72281.04,0.143523,72,1503.07,0.448185,1.796064,0.450000,0.450000,14636.91
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,5253,APP-00005253,CUST-00005253,2025-10-24,AUTO_LOAN,SUBPRIME,587,75752.93,0.5590,0.5139,10,119,6,0,false,false,53402.10,0.133418,60,1224.43,0.193962,0.704951,0.364506,0.450000,8759.42
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,6706,APP-00006706,CUST-00006706,2025-02-02,AUTO_LOAN,SUBPRIME,596,131233.80,0.4232,0.3995,5,45,4,0,false,false,13851.32,0.128138,60,313.84,0.028697,0.105547,0.198467,0.450000,1237.06
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,11766,APP-00011766,CUST-00011766,2025-09-04,AUTO_LOAN,SUBPRIME,602,109662.89,0.4880,0.5994,7,137,1,4,false,false,56932.99,0.144778,36,1959.07,0.214374,0.519164,0.450000,0.450000,11528.93
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,12205,APP-00012205,CUST-00012205,2025-03-18,AUTO_LOAN,SUBPRIME,593,52450.92,0.2537,0.4087,6,68,1,2,false,false,11844.16,0.126825,36,397.27,0.090890,0.225814,0.232542,0.450000,1239.42
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,14654,APP-00014654,CUST-00014654,2025-07-01,AUTO_LOAN,SUBPRIME,602,106222.18,0.2481,0.8176,7,143,5,0,true,false,24906.85,0.134614,84,459.38,0.051897,0.234479,0.331977,0.450000,3720.83
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,18603,APP-00018603,CUST-00018603,2025-12-19,AUTO_LOAN,SUBPRIME,592,40725.45,0.4994,0.6913,10,14,5,0,false,false,14464.67,0.126202,60,326.31,0.096149,0.355175,0.278945,0.450000,1815.68
